i,j,variable_i,variable_j,coefficient
4,6,x_R01_EXIT_E,x_R02_EXIT_B,0.0013366527909008598
4,7,x_R01_EXIT_E,x_R02_EXIT_C,0.004901060233303153
4,8,x_R01_EXIT_E,x_R02_EXIT_D,0.005346611163603439
4,9,x_R01_EXIT_E,x_R02_EXIT_E,0.008465467675705446
4,10,x_R01_EXIT_E,x_R03_EXIT_A,0.037426278145224076
4,11,x_R01_EXIT_E,x_R03_EXIT_B,0.03564407442402293
4,12,x_R01_EXIT_E,x_R03_EXIT_C,0.005346611163603441
4,14,x_R01_EXIT_E,x_R03_EXIT_E,0.03742627814522408
4,15,x_R01_EXIT_E,x_R04_EXIT_A,0.027921191632151298
4,17,x_R01_EXIT_E,x_R04_EXIT_C,0.013663561862542122
4,18,x_R01_EXIT_E,x_R04_EXIT_D,0.011881358141340977
4,19,x_R01_EXIT_E,x_R04_EXIT_E,0.0005940679070670488
4,22,x_R01_EXIT_E,x_R05_EXIT_C,0.0017079452328177653
4,23,x_R01_EXIT_E,x_R05_EXIT_D,0.0014851697676676221
4,25,x_R01_EXIT_E,x_R06_EXIT_A,0.00400995837270258
4,26,x_R01_EXIT_E,x_R06_EXIT_B,0.00400995837270258
4,27,x_R01_EXIT_E,x_R06_EXIT_C,0.025396403027116335
4,28,x_R01_EXIT_E,x_R06_EXIT_D,0.028069708608918054
4,29,x_R01_EXIT_E,x_R06_EXIT_E,0.04678284768153009
4,32,x_R01_EXIT_E,x_R07_EXIT_C,0.01878739756099542
4,33,x_R01_EXIT_E,x_R07_EXIT_D,0.016336867444343844
4,34,x_R01_EXIT_E,x_R07_EXIT_E,0.0008168433722171922
4,37,x_R01_EXIT_E,x_R08_EXIT_C,0.024950852096816054
4,38,x_R01_EXIT_E,x_R08_EXIT_D,0.028069708608918057
4,39,x_R01_EXIT_E,x_R08_EXIT_E,0.04990170419363211
4,42,x_R01_EXIT_E,x_R09_EXIT_C,0.008911018606005731
4,43,x_R01_EXIT_E,x_R09_EXIT_D,0.010024895931756449
4,44,x_R01_EXIT_E,x_R09_EXIT_E,0.00037129244191690553
4,47,x_R01_EXIT_E,x_R10_EXIT_C,0.007128814884804586
4,48,x_R01_EXIT_E,x_R10_EXIT_D,0.0059406790706704885
4,49,x_R01_EXIT_E,x_R10_EXIT_E,0.0002970339535335244
4,52,x_R01_EXIT_E,x_R11_EXIT_C,0.008539726164088827
4,53,x_R01_EXIT_E,x_R11_EXIT_D,0.00742584883833811
4,54,x_R01_EXIT_E,x_R11_EXIT_E,0.00037129244191690553
4,57,x_R01_EXIT_E,x_R12_EXIT_C,0.013663561862542122
4,58,x_R01_EXIT_E,x_R12_EXIT_D,0.011881358141340977
4,59,x_R01_EXIT_E,x_R12_EXIT_E,0.0005940679070670488
5,6,x_R02_EXIT_A,x_R02_EXIT_B,3.780868629081862
5,7,x_R02_EXIT_A,x_R02_EXIT_C,3.7807572413492867
5,8,x_R02_EXIT_A,x_R02_EXIT_D,3.7807572413492867
5,9,x_R02_EXIT_A,x_R02_EXIT_E,3.7807572413492867
5,10,x_R02_EXIT_A,x_R03_EXIT_A,0.0059406790706704885
5,15,x_R02_EXIT_A,x_R04_EXIT_A,0.001980226356890163
5,20,x_R02_EXIT_A,x_R05_EXIT_A,0.00019183442832373457
5,25,x_R02_EXIT_A,x_R06_EXIT_A,0.004306992326236104
5,26,x_R02_EXIT_A,x_R06_EXIT_B,0.00200497918635129
5,27,x_R02_EXIT_A,x_R06_EXIT_C,0.0013366527909008598
5,28,x_R02_EXIT_A,x_R06_EXIT_D,0.0013366527909008598
5,29,x_R02_EXIT_A,x_R06_EXIT_E,0.0013366527909008598
5,30,x_R02_EXIT_A,x_R07_EXIT_A,0.00211017871156108
5,35,x_R02_EXIT_A,x_R08_EXIT_A,0.0019059678685067816
5,37,x_R02_EXIT_A,x_R08_EXIT_C,0.0015594282560510032
5,38,x_R02_EXIT_A,x_R08_EXIT_D,0.0015594282560510032
5,39,x_R02_EXIT_A,x_R08_EXIT_E,0.0015594282560510032
5,40,x_R02_EXIT_A,x_R09_EXIT_A,0.0006807028101809935
5,42,x_R02_EXIT_A,x_R09_EXIT_C,0.0005569386628753583
5,43,x_R02_EXIT_A,x_R09_EXIT_D,0.0005569386628753583
5,45,x_R02_EXIT_A,x_R10_EXIT_A,0.0005445622481447949
5,47,x_R02_EXIT_A,x_R10_EXIT_C,0.00044555093030028674
5,50,x_R02_EXIT_A,x_R11_EXIT_A,0.0006807028101809935
5,55,x_R02_EXIT_A,x_R12_EXIT_A,0.0010891244962895898
6,7,x_R02_EXIT_B,x_R02_EXIT_C,3.7807572413492867
6,8,x_R02_EXIT_B,x_R02_EXIT_D,3.7807572413492867
6,9,x_R02_EXIT_B,x_R02_EXIT_E,3.7807572413492867
6,10,x_R02_EXIT_B,x_R03_EXIT_A,0.0013366527909008598
6,11,x_R02_EXIT_B,x_R03_EXIT_B,0.013886337327692266
6,15,x_R02_EXIT_B,x_R04_EXIT_A,0.00044555093030028674
6,16,x_R02_EXIT_B,x_R04_EXIT_B,0.004628779109230757
6,20,x_R02_EXIT_B,x_R05_EXIT_A,0.0005012447965878225
6,21,x_R02_EXIT_B,x_R05_EXIT_B,0.0005785973886538446
6,25,x_R02_EXIT_B,x_R06_EXIT_A,0.00200497918635129
6,26,x_R02_EXIT_B,x_R06_EXIT_B,0.014963085409251292
6,27,x_R02_EXIT_B,x_R06_EXIT_C,0.0013366527909008598
6,28,x_R02_EXIT_B,x_R06_EXIT_D,0.0013366527909008598
6,29,x_R02_EXIT_B,x_R06_EXIT_E,0.0013366527909008598
6,30,x_R02_EXIT_B,x_R07_EXIT_A,0.005513692762466048
6,31,x_R02_EXIT_B,x_R07_EXIT_B,0.006364571275192291
6,36,x_R02_EXIT_B,x_R08_EXIT_B,0.00732064931312832
6,37,x_R02_EXIT_B,x_R08_EXIT_C,0.0007797141280255016
6,38,x_R02_EXIT_B,x_R08_EXIT_D,0.0007797141280255016
6,39,x_R02_EXIT_B,x_R08_EXIT_E,0.0007797141280255016
6,41,x_R02_EXIT_B,x_R09_EXIT_B,0.002614517611831543
6,42,x_R02_EXIT_B,x_R09_EXIT_C,0.00027846933143767916
6,43,x_R02_EXIT_B,x_R09_EXIT_D,0.00027846933143767916
6,44,x_R02_EXIT_B,x_R09_EXIT_E,0.001949285320063754
6,46,x_R02_EXIT_B,x_R10_EXIT_B,0.0020916140894652346
6,47,x_R02_EXIT_B,x_R10_EXIT_C,0.00022277546515014337
6,48,x_R02_EXIT_B,x_R10_EXIT_D,0.0006683263954504301
6,49,x_R02_EXIT_B,x_R10_EXIT_E,0.0006683263954504301
6,51,x_R02_EXIT_B,x_R11_EXIT_B,0.002614517611831543
6,52,x_R02_EXIT_B,x_R11_EXIT_C,0.00027846933143767916
6,53,x_R02_EXIT_B,x_R11_EXIT_D,0.00027846933143767916
6,54,x_R02_EXIT_B,x_R11_EXIT_E,0.00027846933143767916
6,55,x_R02_EXIT_B,x_R12_EXIT_A,0.003564407442402294
6,56,x_R02_EXIT_B,x_R12_EXIT_B,0.000309410368264088
6,57,x_R02_EXIT_B,x_R12_EXIT_C,0.00400995837270258
6,58,x_R02_EXIT_B,x_R12_EXIT_D,0.00400995837270258
6,59,x_R02_EXIT_B,x_R12_EXIT_E,0.00400995837270258
7,8,x_R02_EXIT_C,x_R02_EXIT_D,3.781945377163421
7,9,x_R02_EXIT_C,x_R02_EXIT_E,3.781945377163421
7,10,x_R02_EXIT_C,x_R03_EXIT_A,0.012475426048408025
7,12,x_R02_EXIT_C,x_R03_EXIT_C,0.0023762716282681954
7,15,x_R02_EXIT_C,x_R04_EXIT_A,0.004752543256536392
7,17,x_R02_EXIT_C,x_R04_EXIT_C,0.00019802263568901627
7,25,x_R02_EXIT_C,x_R06_EXIT_A,0.0013366527909008598
7,26,x_R02_EXIT_C,x_R06_EXIT_B,0.0013366527909008598
7,27,x_R02_EXIT_C,x_R06_EXIT_C,0.00876250162923897
7,28,x_R02_EXIT_C,x_R06_EXIT_D,0.008465467675705446
7,29,x_R02_EXIT_C,x_R06_EXIT_E,0.008465467675705446
7,32,x_R02_EXIT_C,x_R07_EXIT_C,0.00027228112407239735
7,37,x_R02_EXIT_C,x_R08_EXIT_C,0.008663490311394462
7,38,x_R02_EXIT_C,x_R08_EXIT_D,0.008316950698938683
7,39,x_R02_EXIT_C,x_R08_EXIT_E,0.008316950698938683
7,42,x_R02_EXIT_C,x_R09_EXIT_C,0.0030941036826408795
7,43,x_R02_EXIT_C,x_R09_EXIT_D,0.0029703395353352442
7,47,x_R02_EXIT_C,x_R10_EXIT_C,0.002475282946112704
7,52,x_R02_EXIT_C,x_R11_EXIT_C,0.00012376414730563517
7,57,x_R02_EXIT_C,x_R12_EXIT_C,0.00019802263568901627
8,9,x_R02_EXIT_D,x_R02_EXIT_E,3.782093894140188
8,10,x_R02_EXIT_D,x_R03_EXIT_A,0.012475426048408025
8,12,x_R02_EXIT_D,x_R03_EXIT_C,0.0017822037212011465
8,13,x_R02_EXIT_D,x_R03_EXIT_D,0.0005940679070670488
8,15,x_R02_EXIT_D,x_R04_EXIT_A,0.005346611163603441
8,17,x_R02_EXIT_D,x_R04_EXIT_C,0.0005940679070670488
8,18,x_R02_EXIT_D,x_R04_EXIT_D,0.00019802263568901627
8,25,x_R02_EXIT_D,x_R06_EXIT_A,0.0013366527909008598
8,26,x_R02_EXIT_D,x_R06_EXIT_B,0.0013366527909008598
8,27,x_R02_EXIT_D,x_R06_EXIT_C,0.008465467675705446
8,28,x_R02_EXIT_D,x_R06_EXIT_D,0.009653603489839544
8,29,x_R02_EXIT_D,x_R06_EXIT_E,0.00935656953630602
8,32,x_R02_EXIT_D,x_R07_EXIT_C,0.0008168433722171922
8,33,x_R02_EXIT_D,x_R07_EXIT_D,0.00027228112407239735
8,37,x_R02_EXIT_D,x_R08_EXIT_C,0.008316950698938683
8,38,x_R02_EXIT_D,x_R08_EXIT_D,0.009703109148761798
8,39,x_R02_EXIT_D,x_R08_EXIT_E,0.009356569536306019
8,42,x_R02_EXIT_D,x_R09_EXIT_C,0.0029703395353352442
8,43,x_R02_EXIT_D,x_R09_EXIT_D,0.003465396124557785
8,47,x_R02_EXIT_D,x_R10_EXIT_C,0.002376271628268196
8,52,x_R02_EXIT_D,x_R11_EXIT_C,0.00037129244191690553
8,53,x_R02_EXIT_D,x_R11_EXIT_D,0.00012376414730563517
8,57,x_R02_EXIT_D,x_R12_EXIT_C,0.0005940679070670488
8,58,x_R02_EXIT_D,x_R12_EXIT_D,0.00019802263568901627
9,10,x_R02_EXIT_E,x_R03_EXIT_A,0.012475426048408025
9,11,x_R02_EXIT_E,x_R03_EXIT_B,0.011881358141340977
9,12,x_R02_EXIT_E,x_R03_EXIT_C,0.0017822037212011465
9,14,x_R02_EXIT_E,x_R03_EXIT_E,0.012475426048408025
9,15,x_R02_EXIT_E,x_R04_EXIT_A,0.009307063877383767
9,17,x_R02_EXIT_E,x_R04_EXIT_C,0.0045545206208473755
9,18,x_R02_EXIT_E,x_R04_EXIT_D,0.003960452713780326
9,19,x_R02_EXIT_E,x_R04_EXIT_E,0.00019802263568901627
9,22,x_R02_EXIT_E,x_R05_EXIT_C,0.0005693150776059219
9,23,x_R02_EXIT_E,x_R05_EXIT_D,0.0004950565892225408
9,25,x_R02_EXIT_E,x_R06_EXIT_A,0.0013366527909008598
9,26,x_R02_EXIT_E,x_R06_EXIT_B,0.0013366527909008598
9,27,x_R02_EXIT_E,x_R06_EXIT_C,0.008465467675705446
9,28,x_R02_EXIT_E,x_R06_EXIT_D,0.00935656953630602
9,29,x_R02_EXIT_E,x_R06_EXIT_E,0.015594282560510032
9,32,x_R02_EXIT_E,x_R07_EXIT_C,0.00626246585366514
9,33,x_R02_EXIT_E,x_R07_EXIT_D,0.005445622481447948
9,34,x_R02_EXIT_E,x_R07_EXIT_E,0.00027228112407239735
9,37,x_R02_EXIT_E,x_R08_EXIT_C,0.008316950698938683
9,38,x_R02_EXIT_E,x_R08_EXIT_D,0.009356569536306019
9,39,x_R02_EXIT_E,x_R08_EXIT_E,0.016633901397877366
9,42,x_R02_EXIT_E,x_R09_EXIT_C,0.0029703395353352442
9,43,x_R02_EXIT_E,x_R09_EXIT_D,0.00334163197725215
9,44,x_R02_EXIT_E,x_R09_EXIT_E,0.00012376414730563517
9,47,x_R02_EXIT_E,x_R10_EXIT_C,0.002376271628268196
9,48,x_R02_EXIT_E,x_R10_EXIT_D,0.001980226356890163
9,52,x_R02_EXIT_E,x_R11_EXIT_C,0.0028465753880296094
9,53,x_R02_EXIT_E,x_R11_EXIT_D,0.002475282946112704
9,54,x_R02_EXIT_E,x_R11_EXIT_E,0.00012376414730563517
9,57,x_R02_EXIT_E,x_R12_EXIT_C,0.0045545206208473755
9,58,x_R02_EXIT_E,x_R12_EXIT_D,0.003960452713780326
9,59,x_R02_EXIT_E,x_R12_EXIT_E,0.00019802263568901627
10,11,x_R03_EXIT_A,x_R03_EXIT_B,3.779392741625242
10,12,x_R03_EXIT_A,x_R03_EXIT_C,3.7905315148827494
10,13,x_R03_EXIT_A,x_R03_EXIT_D,3.779392741625242
10,14,x_R03_EXIT_A,x_R03_EXIT_E,3.779392741625242
10,15,x_R03_EXIT_A,x_R04_EXIT_A,0.07366442047631405
10,20,x_R03_EXIT_A,x_R05_EXIT_A,0.002302013139884814
10,25,x_R03_EXIT_A,x_R06_EXIT_A,0.035644074424022926
10,26,x_R03_EXIT_A,x_R06_EXIT_B,0.00801991674540516
10,27,x_R03_EXIT_A,x_R06_EXIT_C,0.07485255629044815
10,28,x_R03_EXIT_A,x_R06_EXIT_D,0.07485255629044815
10,29,x_R03_EXIT_A,x_R06_EXIT_E,0.07485255629044815
10,30,x_R03_EXIT_A,x_R07_EXIT_A,0.02532214453873296
10,35,x_R03_EXIT_A,x_R08_EXIT_A,0.02287161442208138
10,37,x_R03_EXIT_A,x_R08_EXIT_C,0.10604112141146821
10,38,x_R03_EXIT_A,x_R08_EXIT_D,0.10604112141146821
10,39,x_R03_EXIT_A,x_R08_EXIT_E,0.10604112141146821
10,40,x_R03_EXIT_A,x_R09_EXIT_A,0.00816843372217192
10,42,x_R03_EXIT_A,x_R09_EXIT_C,0.03787182907552436
10,43,x_R03_EXIT_A,x_R09_EXIT_D,0.03787182907552436
10,45,x_R03_EXIT_A,x_R10_EXIT_A,0.006534746977737538
10,47,x_R03_EXIT_A,x_R10_EXIT_C,0.030297463260419488
10,50,x_R03_EXIT_A,x_R11_EXIT_A,0.00816843372217192
10,55,x_R03_EXIT_A,x_R12_EXIT_A,0.013069493955475076
11,12,x_R03_EXIT_B,x_R03_EXIT_C,3.779392741625242
11,13,x_R03_EXIT_B,x_R03_EXIT_D,3.8047891446523585
11,14,x_R03_EXIT_B,x_R03_EXIT_E,3.9473654423484503
11,15,x_R03_EXIT_B,x_R04_EXIT_A,0.04752543256536391
11,16,x_R03_EXIT_B,x_R04_EXIT_B,0.09297162745599313
11,17,x_R03_EXIT_B,x_R04_EXIT_C,0.04752543256536391
11,18,x_R03_EXIT_B,x_R04_EXIT_D,0.04752543256536391
11,20,x_R03_EXIT_B,x_R05_EXIT_A,0.0033416319772521497
11,21,x_R03_EXIT_B,x_R05_EXIT_B,0.010284800641098284
11,22,x_R03_EXIT_B,x_R05_EXIT_C,0.007277331861571349
11,23,x_R03_EXIT_B,x_R05_EXIT_D,0.007277331861571349
11,24,x_R03_EXIT_B,x_R05_EXIT_E,0.0013366527909008598
11,26,x_R03_EXIT_B,x_R06_EXIT_B,0.08331802396615359
11,29,x_R03_EXIT_B,x_R06_EXIT_E,0.07128814884804587
11,30,x_R03_EXIT_B,x_R07_EXIT_A,0.00735159034995473
11,31,x_R03_EXIT_B,x_R07_EXIT_B,0.08372644565226219
11,32,x_R03_EXIT_B,x_R07_EXIT_C,0.10945701187710374
11,33,x_R03_EXIT_B,x_R07_EXIT_D,0.10945701187710374
11,34,x_R03_EXIT_B,x_R07_EXIT_E,0.04410954209972838
11,36,x_R03_EXIT_B,x_R08_EXIT_B,0.08784779175753984
11,39,x_R03_EXIT_B,x_R08_EXIT_E,0.08316950698938684
11,41,x_R03_EXIT_B,x_R09_EXIT_B,0.03137421134197852
11,44,x_R03_EXIT_B,x_R09_EXIT_E,0.02339142384076505
11,46,x_R03_EXIT_B,x_R10_EXIT_B,0.025099369073582813
11,48,x_R03_EXIT_B,x_R10_EXIT_D,0.042475855355293995
11,49,x_R03_EXIT_B,x_R10_EXIT_E,0.018713139072612038
11,51,x_R03_EXIT_B,x_R11_EXIT_B,0.03137421134197852
11,52,x_R03_EXIT_B,x_R11_EXIT_C,0.05309481919411749
11,53,x_R03_EXIT_B,x_R11_EXIT_D,0.05309481919411749
11,54,x_R03_EXIT_B,x_R11_EXIT_E,0.02339142384076505
11,55,x_R03_EXIT_B,x_R12_EXIT_A,0.042772889308827514
11,56,x_R03_EXIT_B,x_R12_EXIT_B,0.0037129244191690556
11,57,x_R03_EXIT_B,x_R12_EXIT_C,0.13307121118301893
11,58,x_R03_EXIT_B,x_R12_EXIT_D,0.13307121118301893
11,59,x_R03_EXIT_B,x_R12_EXIT_E,0.08554577861765503
12,13,x_R03_EXIT_C,x_R03_EXIT_D,3.779392741625242
12,14,x_R03_EXIT_C,x_R03_EXIT_E,3.779392741625242
12,15,x_R03_EXIT_C,x_R04_EXIT_A,0.007128814884804586
12,17,x_R03_EXIT_C,x_R04_EXIT_C,0.0023762716282681954
12,22,x_R03_EXIT_C,x_R05_EXIT_C,0.0002970339535335244
12,27,x_R03_EXIT_C,x_R06_EXIT_C,0.014257629769609176
12,28,x_R03_EXIT_C,x_R06_EXIT_D,0.010693222327206882
12,29,x_R03_EXIT_C,x_R06_EXIT_E,0.010693222327206882
12,32,x_R03_EXIT_C,x_R07_EXIT_C,0.003267373488868769
12,37,x_R03_EXIT_C,x_R08_EXIT_C,0.01663390139787737
12,38,x_R03_EXIT_C,x_R08_EXIT_D,0.012475426048408027
12,39,x_R03_EXIT_C,x_R08_EXIT_E,0.012475426048408027
12,42,x_R03_EXIT_C,x_R09_EXIT_C,0.0059406790706704885
12,43,x_R03_EXIT_C,x_R09_EXIT_D,0.004455509303002867
