variable_index,variable,coefficient
72,x_R09_EXIT_A,-0.820404360850497
73,x_R09_EXIT_B,-0.8125507518094001
74,x_R09_EXIT_C,-0.8046971427683032
75,x_R09_EXIT_D,-0.8023669252012668
76,x_R09_EXIT_E,-0.7980406612953663
77,x_R09_EXIT_F,-0.8058776646535496
78,x_R09_EXIT_G,-0.8015680064305628
79,x_R09_EXIT_H,-0.8236702155406046
80,x_R09_EXIT_STAIRWELL,-0.8088233366091853
81,x_R10_EXIT_A,-0.8088192419171806
82,x_R10_EXIT_B,-0.8166728509582775
83,x_R10_EXIT_C,-0.8245264599993744
84,x_R10_EXIT_D,-0.8260585555538128
85,x_R10_EXIT_E,-0.8039522517517662
86,x_R10_EXIT_F,-0.8083397091228421
87,x_R10_EXIT_G,-0.7987615540030866
88,x_R10_EXIT_H,-0.804755265214475
89,x_R10_EXIT_STAIRWELL,-0.8112853810784778
90,x_R11_EXIT_A,-0.8064266937545203
91,x_R11_EXIT_B,-0.8142803027956173
92,x_R11_EXIT_C,-0.8221339118367141
93,x_R11_EXIT_D,-0.8180289882139616
94,x_R11_EXIT_E,-0.796541209819518
95,x_R11_EXIT_F,-0.8009286671905941
96,x_R11_EXIT_G,-0.7917645297931017
97,x_R11_EXIT_H,-0.7994088557121697
98,x_R11_EXIT_STAIRWELL,-0.8038743391462297
99,x_R12_EXIT_A,-0.813864915916062
100,x_R12_EXIT_B,-0.8223775434550189
101,x_R12_EXIT_C,-0.8178795293998163
102,x_R12_EXIT_D,-0.8177321204876475
103,x_R12_EXIT_E,-0.8082655431690455
104,x_R12_EXIT_F,-0.816498823992104
105,x_R12_EXIT_G,-0.8082819219370643
106,x_R12_EXIT_H,-0.8176502266475538
107,x_R12_EXIT_STAIRWELL,-0.81950591632781
108,x_R13_EXIT_A,-0.8169343414033662
109,x_R13_EXIT_B,-0.8105644883707577
110,x_R13_EXIT_C,-0.8027108793296608
111,x_R13_EXIT_D,-0.8058041871123601
112,x_R13_EXIT_E,-0.8014779232064596
113,x_R13_EXIT_F,-0.8093149265646429
114,x_R13_EXIT_G,-0.805005268341656
115,x_R13_EXIT_H,-0.8271074774516979
116,x_R13_EXIT_STAIRWELL,-0.8122605985202785
117,x_R14_EXIT_A,-0.8169507201713849
118,x_R14_EXIT_B,-0.8105808671387764
119,x_R14_EXIT_C,-0.8027272580976795
120,x_R14_EXIT_D,-0.8058205658803789
121,x_R14_EXIT_E,-0.8014943019744784
122,x_R14_EXIT_F,-0.8093313053326616
123,x_R14_EXIT_G,-0.8050216471096747
124,x_R14_EXIT_H,-0.8271238562197166
125,x_R14_EXIT_STAIRWELL,-0.8122769772882973
126,x_R15_EXIT_A,-0.8055481289572384
127,x_R15_EXIT_B,-0.8131529854590505
128,x_R15_EXIT_C,-0.8207578419608624
129,x_R15_EXIT_D,-0.8288205072090934
130,x_R15_EXIT_E,-0.8076232250320878
131,x_R15_EXIT_F,-0.8115408164956257
132,x_R15_EXIT_G,-0.8025645811005594
133,x_R15_EXIT_H,-0.8084508066468248
134,x_R15_EXIT_STAIRWELL,-0.8144711333562438
135,x_R16_EXIT_A,-0.803403336108243
136,x_R16_EXIT_B,-0.8112569451493399
137,x_R16_EXIT_C,-0.8191105541904368
138,x_R16_EXIT_D,-0.8275417417190898
139,x_R16_EXIT_E,-0.8054354379170432
140,x_R16_EXIT_F,-0.8098228952881192
141,x_R16_EXIT_G,-0.8002447401683636
142,x_R16_EXIT_H,-0.806238451379752
143,x_R16_EXIT_STAIRWELL,-0.8127685672437548
144,x_R20_EXIT_A,-0.8055174477705587
145,x_R20_EXIT_B,-0.8101141882636635
146,x_R20_EXIT_C,-0.808860531765544
147,x_R20_EXIT_D,-0.8138751577580221
148,x_R20_EXIT_E,-0.8213970967467391
149,x_R20_EXIT_F,-0.8285011502360831
150,x_R20_EXIT_G,-0.8205613257479928
151,x_R20_EXIT_H,-0.8138751577580221
152,x_R20_EXIT_STAIRWELL,-0.8364409747241733
153,x_R24_EXIT_A,-0.7990269071133367
154,x_R24_EXIT_B,-0.8059344153864556
155,x_R24_EXIT_C,-0.8137582270090452
156,x_R24_EXIT_D,-0.8193461098821797
157,x_R24_EXIT_E,-0.8146440419714274
158,x_R24_EXIT_F,-0.8209109629726556
159,x_R24_EXIT_G,-0.8081712517954902
160,x_R24_EXIT_H,-0.8087112973103194
161,x_R24_EXIT_STAIRWELL,-0.8239180553083616
162,x_R25_EXIT_A,-0.797343996367332
163,x_R25_EXIT_B,-0.8051976054084289
164,x_R25_EXIT_C,-0.8130512144495258
165,x_R25_EXIT_D,-0.8304258798372076
166,x_R25_EXIT_E,-0.8030838366744298
167,x_R25_EXIT_F,-0.8074712940455058
168,x_R25_EXIT_G,-0.7978931389257501
169,x_R25_EXIT_H,-0.8038868501371387
170,x_R25_EXIT_STAIRWELL,-0.8104169660011414
171,x_R28_EXIT_A,-0.7967133003411625
172,x_R28_EXIT_B,-0.7994091960845121
173,x_R28_EXIT_C,-0.7955049123699894
174,x_R28_EXIT_D,-0.8002078879403214
175,x_R28_EXIT_E,-0.808377242095569
176,x_R28_EXIT_F,-0.8162142454537523
177,x_R28_EXIT_G,-0.8319048578530325
178,x_R28_EXIT_H,-0.8054026803810057
179,x_R28_EXIT_STAIRWELL,-0.819159917409388
180,x_R29_EXIT_A,-0.8021413767686667
181,x_R29_EXIT_B,-0.8048372725120163
182,x_R29_EXIT_C,-0.8009329887974936
183,x_R29_EXIT_D,-0.8056359643678256
184,x_R29_EXIT_E,-0.8138053185230733
185,x_R29_EXIT_F,-0.8216423218812565
186,x_R29_EXIT_G,-0.8319048578530325
187,x_R29_EXIT_H,-0.8108307568085099
188,x_R29_EXIT_STAIRWELL,-0.8245879938368922
189,x_R30_EXIT_A,-0.8056318696758209
190,x_R30_EXIT_B,-0.8083277654191705
191,x_R30_EXIT_C,-0.8044234817046478
192,x_R30_EXIT_D,-0.8091264572749797
193,x_R30_EXIT_E,-0.8172958114302274
194,x_R30_EXIT_F,-0.8251328147884107
195,x_R30_EXIT_G,-0.8225684030190009
196,x_R30_EXIT_H,-0.8143212497156641
197,x_R30_EXIT_STAIRWELL,-0.8280784867440464
198,x_R31_EXIT_A,-0.8056318696758209
199,x_R31_EXIT_B,-0.8083277654191705
200,x_R31_EXIT_C,-0.8048370455971214
201,x_R31_EXIT_D,-0.8099949858097636
202,x_R31_EXIT_E,-0.8190410578838045
203,x_R31_EXIT_F,-0.8319048578530325
204,x_R31_EXIT_G,-0.8208231565654238
205,x_R31_EXIT_H,-0.8143212497156641
206,x_R31_EXIT_STAIRWELL,-0.8298237331976235
207,x_R32_EXIT_A,-0.8014408440635226
208,x_R32_EXIT_B,-0.8074919944204241
209,x_R32_EXIT_C,-0.8082865915842287
210,x_R32_EXIT_D,-0.8134445317968708
211,x_R32_EXIT_E,-0.8234410262457895
212,x_R32_EXIT_F,-0.8323227433524056
213,x_R32_EXIT_G,-0.8166321309531255
214,x_R32_EXIT_H,-0.8101302241033658
215,x_R32_EXIT_STAIRWELL,-0.8282669560337095
216,x_R33_EXIT_A,-0.7986140316334703
217,x_R33_EXIT_B,-0.8048741247400585
218,x_R33_EXIT_C,-0.8056687219038631
219,x_R33_EXIT_D,-0.8108266621165052
220,x_R33_EXIT_E,-0.8319048578530325
221,x_R33_EXIT_F,-0.8242601915616222
222,x_R33_EXIT_G,-0.8138053185230733
223,x_R33_EXIT_H,-0.8073034116733135
224,x_R33_EXIT_STAIRWELL,-0.8254401436036573
225,x_R34_EXIT_A,-0.7927350852556605
226,x_R34_EXIT_B,-0.7989951783622486
227,x_R34_EXIT_C,-0.7997897755260532
228,x_R34_EXIT_D,-0.8049477157386955
229,x_R34_EXIT_E,-0.8310527080862674
230,x_R34_EXIT_F,-0.8183812451838124
231,x_R34_EXIT_G,-0.8079263721452635
232,x_R34_EXIT_H,-0.8014244652955037
233,x_R34_EXIT_STAIRWELL,-0.8195611972258475
234,x_R35_EXIT_A,-0.8288691026732937
235,x_R35_EXIT_B,-0.8210154936321967
236,x_R35_EXIT_C,-0.8131618845910998
237,x_R35_EXIT_D,-0.8022932207451825
238,x_R35_EXIT_E,-0.7962217103857049
239,x_R35_EXIT_F,-0.8040587137438882
240,x_R35_EXIT_G,-0.7997490555209013
241,x_R35_EXIT_H,-0.8208281614729822
242,x_R35_EXIT_STAIRWELL,-0.8070043856995238
243,x_R36_EXIT_A,-0.7847477956535357
244,x_R36_EXIT_B,-0.786504872353337
245,x_R36_EXIT_C,-0.7652867558961723
246,x_R36_EXIT_D,-0.782568625304909
247,x_R36_EXIT_E,-0.7758628812905977
248,x_R36_EXIT_F,-0.8012906815009251
249,x_R36_EXIT_G,-0.7838124937908583
250,x_R36_EXIT_H,-0.8013972569504944
251,x_R36_EXIT_STAIRWELL,-0.8047277164971234
