node_id,node_type,grid_position,description,space_type,space_id,space_name,room_id,room_name
DOOR_12,door,D_A1,door node,door,R12,,R12,Room 12
B7_0,navigation,F_A4,navigation node,hallway,,,,
START_R13,room_start,G_A5,room_start node,room,R13,,R13,Room 13
DOOR_13,door,G_A4,door node,door,R13,,R13,Room 13
B7_1,navigation,F_A5,navigation node,hallway,,,,
START_R14,room_start,G_A6,room_start node,room,R14,,R14,Room 14
DOOR_14,door,G_A5,door node,door,R14,,R14,Room 14
B8_0,navigation,F_A2,navigation node,hallway,,,,
START_R15,room_start,E_A3,room_start node,room,R15,,R15,Room 15
DOOR_15,door,E_A2,door node,door,R15,,R15,Room 15
B8_1,navigation,F_A1,navigation node,hallway,,,,
START_R16,room_start,E_A2,room_start node,room,R16,,R16,Room 16
DOOR_16,door,E_A1,door node,door,R16,,R16,Room 16
B9_0,navigation,G_A4,navigation node,hallway,,,,
START_R17,room_start,H_A5,room_start node,room,R17,,R17,Room 17
DOOR_17,door,H_A4,door node,door,R17,,R17,Room 17
B9_1,navigation,G_A5,navigation node,hallway,,,,
START_R18,room_start,H_A6,room_start node,room,R18,,R18,Room 18
DOOR_18,door,H_A5,door node,door,R18,,R18,Room 18
B10_0,navigation,G_A2,navigation node,hallway,,,,
START_R19,room_start,F_A3,room_start node,room,R19,,R19,Room 19
DOOR_19,door,F_A2,door node,door,R19,,R19,Room 19
B10_1,navigation,G_A1,navigation node,hallway,,,,
START_R20,room_start,F_A2,room_start node,room,R20,,R20,Room 20
DOOR_20,door,F_A1,door node,door,R20,,R20,Room 20
B11_0,navigation,H_A4,navigation node,hallway,,,,
START_R21,room_start,I_A5,room_start node,room,R21,,R21,Room 21
DOOR_21,door,I_A4,door node,door,R21,,R21,Room 21
B11_1,navigation,H_A5,navigation node,hallway,,,,
START_R22,room_start,I_A6,room_start node,room,R22,,R22,Room 22
DOOR_22,door,I_A5,door node,door,R22,,R22,Room 22
B12_0,navigation,H_A2,navigation node,hallway,,,,
START_R23,room_start,G_A3,room_start node,room,R23,,R23,Room 23
DOOR_23,door,G_A2,door node,door,R23,,R23,Room 23
B12_1,navigation,H_A1,navigation node,hallway,,,,
START_R24,room_start,G_A2,room_start node,room,R24,,R24,Room 24
DOOR_24,door,G_A1,door node,door,R24,,R24,Room 24
B13_0,navigation,I_A4,navigation node,hallway,,,,
START_R25,room_start,J_A5,room_start node,room,R25,,R25,Room 25
DOOR_25,door,J_A4,door node,door,R25,,R25,Room 25
B13_1,navigation,I_A5,navigation node,hallway,,,,
START_R26,room_start,J_A6,room_start node,room,R26,,R26,Room 26
DOOR_26,door,J_A5,door node,door,R26,,R26,Room 26
B14_0,navigation,I_A2,navigation node,hallway,,,,
START_R27,room_start,H_A3,room_start node,room,R27,,R27,Room 27
DOOR_27,door,H_A2,door node,door,R27,,R27,Room 27
B14_1,navigation,I_A1,navigation node,hallway,,,,
START_R28,room_start,H_A2,room_start node,room,R28,,R28,Room 28
DOOR_28,door,H_A1,door node,door,R28,,R28,Room 28
B15_0,navigation,J_A4,navigation node,hallway,,,,
START_R29,room_start,K_A5,room_start node,room,R29,,R29,Room 29
DOOR_29,door,K_A4,door node,door,R29,,R29,Room 29
B15_1,navigation,J_A5,navigation node,hallway,,,,
START_R30,room_start,K_A6,room_start node,room,R30,,R30,Room 30
DOOR_30,door,K_A5,door node,door,R30,,R30,Room 30
B16_0,navigation,J_A2,navigation node,hallway,,,,
B16_1,navigation,J_A1,navigation node,hallway,,,,
EXIT_A,exit,B2.3,exit node,,,,,
EXIT_B,exit,K2.3,exit node,,,,,
EXIT_C,exit,C2.3,exit node,,,,,
EXIT_D,exit,D2.3,exit node,,,,,
EXIT_E,exit,E2.3,exit node,,,,,
EXIT_F,exit,F2.3,exit node,,,,,
