variable_index,variable,coefficient
190,x_R24_EXIT_F,-0.9058048427387879
191,x_R24_EXIT_B,-0.9057326143765299
192,x_R25_EXIT_C,-0.8835845108226767
193,x_R25_EXIT_D,-0.8912117568386007
194,x_R25_EXIT_E,-0.8881972877330384
195,x_R25_EXIT_G,-0.8913978224864871
196,x_R25_EXIT_H,-0.9137800385252326
197,x_R25_EXIT_A,-0.8886418280844971
198,x_R25_EXIT_F,-0.9019119662012923
199,x_R25_EXIT_B,-0.910562437760521
200,x_R26_EXIT_C,-0.8913807960374254
201,x_R26_EXIT_D,-0.8982937234311559
202,x_R26_EXIT_E,-0.8910537907944072
203,x_R26_EXIT_G,-0.9025007328647359
204,x_R26_EXIT_H,-0.8987645845078102
205,x_R26_EXIT_A,-0.9058410145230498
206,x_R26_EXIT_F,-0.9114632828556635
207,x_R26_EXIT_B,-0.9001710348153243
208,x_R27_EXIT_C,-0.8923030797969324
209,x_R27_EXIT_D,-0.8988253641941507
210,x_R27_EXIT_E,-0.8939608994509319
211,x_R27_EXIT_G,-0.8995434483991918
212,x_R27_EXIT_H,-0.9048199366319359
213,x_R27_EXIT_A,-0.9024359029891937
214,x_R27_EXIT_F,-0.9133237388955138
215,x_R27_EXIT_B,-0.9069665417386615
216,x_R28_EXIT_C,-0.8886667505664466
217,x_R28_EXIT_D,-0.8932161980527836
218,x_R28_EXIT_E,-0.8863025591076542
219,x_R28_EXIT_G,-0.9090368440025941
220,x_R28_EXIT_H,-0.891377789452207
221,x_R28_EXIT_A,-0.9178588903639008
222,x_R28_EXIT_F,-0.9039891722468605
223,x_R28_EXIT_B,-0.8933565514596846
224,x_R29_EXIT_C,-0.8916114738556179
225,x_R29_EXIT_D,-0.8962444238660771
226,x_R29_EXIT_E,-0.8892084247865905
227,x_R29_EXIT_G,-0.9063716551507632
228,x_R29_EXIT_H,-0.8943167254377263
229,x_R29_EXIT_A,-0.9131726946738878
230,x_R29_EXIT_F,-0.907323298396047
231,x_R29_EXIT_B,-0.8962632438962854
232,x_R30_EXIT_C,-0.8899164501067124
233,x_R30_EXIT_D,-0.8966061529310074
234,x_R30_EXIT_E,-0.8895701538515208
235,x_R30_EXIT_G,-0.9022735823328303
236,x_R30_EXIT_H,-0.898678338554582
237,x_R30_EXIT_A,-0.9053658366917714
238,x_R30_EXIT_F,-0.915499601847963
239,x_R30_EXIT_B,-0.9014663460929593
240,x_R31_EXIT_C,-0.8892340322557322
241,x_R31_EXIT_D,-0.8957563166529505
242,x_R31_EXIT_E,-0.8917869424448032
243,x_R31_EXIT_G,-0.8989988568041067
244,x_R31_EXIT_H,-0.9033533848776808
245,x_R31_EXIT_A,-0.9019050906885183
246,x_R31_EXIT_F,-0.9156799383635486
247,x_R31_EXIT_B,-0.9062406033358071
248,x_R32_EXIT_C,-0.8877570189628466
249,x_R32_EXIT_D,-0.8944467217871416
250,x_R32_EXIT_E,-0.8906220301702951
251,x_R32_EXIT_G,-0.8950841971198864
252,x_R32_EXIT_H,-0.906448819199457
253,x_R32_EXIT_A,-0.8964903266681555
254,x_R32_EXIT_F,-0.907729121203088
255,x_R32_EXIT_B,-0.9139049715521707
256,x_R33_EXIT_C,-0.8840956345714323
257,x_R33_EXIT_D,-0.8907853373957272
258,x_R33_EXIT_E,-0.8869606457788807
259,x_R33_EXIT_G,-0.8914228127284721
260,x_R33_EXIT_H,-0.9101102035908714
261,x_R33_EXIT_A,-0.8928289422767411
262,x_R33_EXIT_F,-0.9040677368116736
263,x_R33_EXIT_B,-0.9171162790148107
