room_id,room_name,start_node,primary_exit,distance,hops,path,astar_matches_distance,astar_same_exact_path
R23,Meeting Room A,START_R23,EXIT_F,11.75,13,START_R23 -> R18.5 -> Q18.5 -> DOOR_35 -> P18.5 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> EXIT_F,True,True
R24,Meeting Room B,START_R24,EXIT_H,12.0,12,START_R24 -> X18 -> DOOR_30 -> X16 -> Y16 -> Z16 -> AA16 -> AB16 -> AC16 -> AD16 -> AE16 -> AF16 -> EXIT_H,True,True
R25,Faculty Training Room,START_R25,EXIT_H,6.0,6,START_R25 -> AD18 -> DOOR_28 -> AD16 -> AE16 -> AF16 -> EXIT_H,True,True
R26,Staff Break Room,START_R26,EXIT_F,10.0,9,START_R26 -> O21 -> DOOR_43 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> EXIT_F,True,True
R27,IT / Server Room,START_R27,EXIT_F,8.25,9,START_R27 -> Q21 -> DOOR_41 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> EXIT_F,True,True
R28,Copy & Supply Room,START_R28,EXIT_A,2.0,2,START_R28 -> C26 -> EXIT_A,True,True
R29,Faculty Workroom,START_R29,EXIT_A,8.0,8,START_R29 -> G25 -> DOOR_50 -> E25 -> DOOR_54 -> D25 -> D26 -> C26 -> EXIT_A,True,True
R30,School Security Office,START_R30,EXIT_F,5.0,5,START_R30 -> N25 -> DOOR_52 -> P25 -> P26 -> EXIT_F,True,True
R31,Maintenance & Storage,START_R31,EXIT_F,5.0,5,START_R31 -> R25 -> DOOR_55 -> P25 -> P26 -> EXIT_F,True,True
R32,East Support Office,START_R32,EXIT_B,7.0,7,START_R32 -> Y25 -> DOOR_51 -> AA25 -> DOOR_53 -> AC25 -> AC26 -> EXIT_B,True,True
R33,Administrative Support Office,START_R33,EXIT_B,3.0,3,START_R33 -> AC25 -> AC26 -> EXIT_B,True,False
